99471	a	d	b	b	d	d	a	c
98702	a	a	c	a	b	b	c	c
95842	c	c	a	c	b	c	b	b
94765	d	d	d	c	c	c	d	a
99227	c	b	a	d	b	d	a	c
99312	b	a	b	c	c	c	c	d
97779	a	a	a	d	d	d	c	d
94804	c	c	b	c	b	a	b	c
94550	d	d	a	c	b	d	a	b
97958	d	c	a	a	b	d	d	b
96140	d	c	d	d	a	c	a	a
94474	b	a	d	a	d	b	b	b
94955	b	a	a	a	c	b	d	c
97577	c	d	d	b	b	c	b	d
98970	b	c	a	c	d	c	c	c
94025	b	c	a	b	b	b	d	d
97484	d	a	d	a	a	d	c	a
97325	c	c	b	d	b	a	c	d
95002	c	a	b	d	a	c	d	a
99388	c	a	a	a	b	d	b	c
99029	a	c	c	b	a	c	d	d
98551	c	b	c	b	d	d	b	c
99111	c	b	d	c	d	b	c	b
96536	d	b	d	c	a	c	b	b
99434	c	c	a	a	d	a	d	b
96422	c	a	c	b	b	c	a	a
94736	a	c	a	a	d	b	c	c
94568	a	d	d	b	b	c	d	d
99518	d	c	d	d	c	d	d	b
98332	b	a	a	c	a	a	b	d
94216	d	b	a	d	b	a	a	b
94043	c	a	c	a	b	a	b	b
94578	b	b	a	a	d	d	a	b
95316	a	a	b	b	b	c	d	b
98033	d	b	d	d	a	d	c	c
94177	d	c	a	a	c	d	d	b
94412	d	c	d	b	d	a	c	b
95347	c	b	b	d	c	c	b	a
95001	d	a	a	b	c	a	b	b
97750	d	b	a	b	d	a	b	a
97552	b	a	c	b	d	a	a	c
94572	a	a	c	c	d	a	d	c
96972	a	a	b	d	d	c	d	c
98373	a	b	a	a	c	a	c	c
95027	a	b	d	c	d	c	d	c
98159	b	d	c	c	d	a	a	d
98188	c	b	a	b	c	d	d	d
99472	c	a	c	b	d	d	d	b
98709	b	b	a	a	d	a	c	c
99285	b	a	a	c	c	b	b	b
99863	c	d	a	c	c	b	a	d
99362	b	c	c	a	b	b	b	c
94376	c	c	d	d	d	b	a	d
96582	a	d	c	a	b	d	a	b
99199	c	c	b	b	b	d	c	b
97574	b	b	b	d	c	d	d	c
99306	a	b	a	b	a	a	b	c
96218	c	b	d	d	d	a	a	d
97233	b	b	a	b	d	c	c	b
94560	b	c	a	b	d	d	b	a
94101	c	b	c	a	d	d	a	d
99089	c	c	a	a	a	a	c	b
97082	a	d	a	c	c	d	c	c
97000	d	b	a	d	d	d	b	c
99379	d	c	d	a	d	c	d	a
98267	a	c	d	a	b	d	b	a
94795	c	c	a	a	d	b	d	d
98769	c	c	b	b	a	b	b	c
